player_id,player_name,feature_season,outcome_season,position,feature_team,has_valid_outcome,breakout_label_default,breakout_reason,wr_signal_score,rank,scoring_version
00-0031428,A.Robinson,2020,2021,WR,CHI,True,False,no_breakout_trigger,49.6290,1,wr_signal_score_balanced_conservative_v1
00-0032211,T.Lockett,2020,2021,WR,SEA,True,False,no_breakout_trigger,48.5715,2,wr_signal_score_balanced_conservative_v1
00-0030564,D.Hopkins,2020,2021,WR,ARI,True,False,no_breakout_trigger,47.8453,3,wr_signal_score_balanced_conservative_v1
00-0035640,D.Metcalf,2020,2021,WR,SEA,True,False,no_breakout_trigger,47.6900,4,wr_signal_score_balanced_conservative_v1
00-0031588,S.Diggs,2020,2021,WR,BUF,True,False,no_breakout_trigger,47.5315,5,wr_signal_score_balanced_conservative_v1
00-0036322,J.Jefferson,2020,2021,WR,MIN,True,True,beat_expected_baseline,46.8522,6,wr_signal_score_balanced_conservative_v1
00-0030035,A.Thielen,2020,2021,WR,MIN,True,True,beat_expected_baseline,45.5297,7,wr_signal_score_balanced_conservative_v1
00-0033040,T.Hill,2020,2021,WR,KC,True,False,no_breakout_trigger,45.2540,8,wr_signal_score_balanced_conservative_v1
00-0034837,C.Ridley,2020,2021,WR,ATL,True,False,no_breakout_trigger,45.2383,9,wr_signal_score_balanced_conservative_v1
00-0031381,D.Adams,2020,2021,WR,GB,True,False,no_breakout_trigger,45.1364,10,wr_signal_score_balanced_conservative_v1
00-0031408,M.Evans,2020,2021,WR,TB,True,True,beat_expected_baseline,44.5177,11,wr_signal_score_balanced_conservative_v1
00-0030431,R.Woods,2020,2021,WR,LA,True,True,beat_expected_baseline,44.4528,12,wr_signal_score_balanced_conservative_v1
00-0030279,K.Allen,2020,2021,WR,LAC,True,False,no_breakout_trigger,44.1341,13,wr_signal_score_balanced_conservative_v1
00-0035216,D.Johnson,2020,2021,WR,PIT,True,True,beat_expected_baseline,43.3173,14,wr_signal_score_balanced_conservative_v1
00-0031544,A.Cooper,2020,2021,WR,DAL,True,False,no_breakout_trigger,42.8170,15,wr_signal_score_balanced_conservative_v1
00-0031236,B.Cooks,2020,2021,WR,HOU,True,True,beat_expected_baseline,42.8040,16,wr_signal_score_balanced_conservative_v1
00-0035659,T.McLaurin,2020,2021,WR,WAS,True,False,no_breakout_trigger,42.0900,17,wr_signal_score_balanced_conservative_v1
00-0033857,J.Smith-Schuster,2020,2021,WR,PIT,True,False,no_breakout_trigger,41.8713,18,wr_signal_score_balanced_conservative_v1
00-0035676,A.Brown,2020,2021,WR,TEN,True,False,no_breakout_trigger,41.4585,19,wr_signal_score_balanced_conservative_v1
00-0032688,R.Chosen,2020,2021,WR,CAR,True,False,no_breakout_trigger,39.8947,20,wr_signal_score_balanced_conservative_v1
00-0029293,M.Jones,2020,2021,WR,DET,True,False,no_breakout_trigger,39.7770,21,wr_signal_score_balanced_conservative_v1
00-0033908,C.Kupp,2020,2021,WR,LA,True,True,top24_jump,37.6775,22,wr_signal_score_balanced_conservative_v1
00-0034827,D.Moore,2020,2021,WR,CAR,True,True,beat_expected_baseline,37.5189,23,wr_signal_score_balanced_conservative_v1
00-0036358,C.Lamb,2020,2021,WR,DAL,True,True,top24_jump,36.6223,24,wr_signal_score_balanced_conservative_v1
00-0033282,C.Samuel,2020,2021,WR,CAR,True,False,no_breakout_trigger,36.5977,25,wr_signal_score_balanced_conservative_v1
00-0033921,C.Godwin,2020,2021,WR,TB,True,True,beat_expected_baseline,36.5182,26,wr_signal_score_balanced_conservative_v1
00-0036326,C.Claypool,2020,2021,WR,PIT,True,False,no_breakout_trigger,35.6861,27,wr_signal_score_balanced_conservative_v1
00-0036261,B.Aiyuk,2020,2021,WR,SF,True,False,no_breakout_trigger,35.6781,28,wr_signal_score_balanced_conservative_v1
00-0029000,C.Beasley,2020,2021,WR,BUF,True,False,no_breakout_trigger,35.5191,29,wr_signal_score_balanced_conservative_v1
00-0033127,W.Fuller,2020,2021,WR,HOU,True,False,no_breakout_trigger,34.0546,30,wr_signal_score_balanced_conservative_v1
00-0036410,T.Higgins,2020,2021,WR,CIN,True,True,top24_jump,32.4585,31,wr_signal_score_balanced_conservative_v1
00-0033871,C.Davis,2020,2021,WR,TEN,True,False,no_breakout_trigger,32.3045,32,wr_signal_score_balanced_conservative_v1
00-0033009,T.Boyd,2020,2021,WR,CIN,True,False,no_breakout_trigger,32.1077,33,wr_signal_score_balanced_conservative_v1
